Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term_In_Months ,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,58490,15080,100000,180,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,45830,15080,128000,180,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,30000,0,66000,180,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,25830,23580,120000,180,1,Urban,Y
LP001008,Male,No,0,Graduate,No,60000,0,141000,180,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,54170,41960,267000,180,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,23330,15160,95000,180,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,30360,25040,158000,180,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,40060,15260,168000,180,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,128410,109680,349000,180,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,32000,7000,70000,180,1,Urban,Y
LP001027,Male,Yes,2,Graduate,No,25000,18400,109000,180,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,30730,81060,200000,180,1,Urban,Y
LP001029,Male,No,0,Graduate,No,18530,28400,114000,180,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,12990,10860,17000,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,49500,0,125000,180,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,35960,15080,100000,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,35100,15080,76000,180,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,48870,15080,133000,180,1,Rural,N
LP001041,Male,Yes,0,Graduate,No,26000,35000,115000,60,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,76600,15080,104000,180,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,59550,56250,315000,180,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,26000,19110,116000,180,0,Semiurban,N
LP001050,Other,Yes,2,Not Graduate,No,33650,19170,112000,180,0,Rural,N
LP001052,Male,Yes,1,Graduate,No,37170,29250,151000,180,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,95600,15080,191000,180,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,27990,22530,122000,180,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,42260,10400,110000,180,1,Urban,Y
